Date,Country,State,Disease,Symptoms,Cases,Severity_Score,Risk_Level,Hospital_Visits
2025-07-01,India,Tamil Nadu,Typhoid,"loss of appetite, weakness, fever, abdominal pain",165,20,High,36
2025-06-05,Germany,Bavaria,Typhoid,"fever, loss of appetite",297,9,Moderate,280
2026-01-14,Canada,Quebec,Flu,"fever, cough, body pain",394,10,Moderate,4
2025-11-17,USA,California,Flu,"runny nose, cough, fever",118,8,Moderate,63
2026-03-23,Germany,Hesse,Asthma,"chest tightness, cough, wheezing, breathing difficulty",180,10,Moderate,90
2025-09-29,India,Maharashtra,COVID-19,"cough, fever",281,17,High,147
2026-05-08,Germany,Hamburg,Flu,"runny nose, fever",32,20,High,30
2025-10-24,India,Uttar Pradesh,Malaria,"fatigue, chills",21,5,Low,14
2026-01-19,India,Punjab,Migraine,"sensitivity to light, nausea, vomiting",238,10,Moderate,143
2025-06-25,Germany,Berlin,Typhoid,"loss of appetite, abdominal pain, weakness",245,19,High,97
2026-04-28,Germany,Berlin,Respiratory Infection,"breathing issue, fever, cough, sore throat",429,15,High,275
2025-08-02,India,Rajasthan,Skin Infection,"redness, itching, skin rash, swelling",328,18,High,274
2026-01-04,Germany,Berlin,Diabetes,"fatigue, frequent urination, weight loss, increased thirst",294,8,Moderate,99
2025-08-14,India,Uttar Pradesh,Malaria,"fever, fatigue, sweating, chills",67,19,High,56
2025-09-17,Germany,Berlin,Migraine,"headache, vomiting, nausea, sensitivity to light",326,6,Low,8
2025-12-04,USA,Ohio,Flu,"body pain, runny nose, cough",173,10,Moderate,146
2025-12-28,Canada,Quebec,Migraine,"sensitivity to light, vomiting",271,19,High,168
2026-01-07,Canada,Quebec,Diabetes,"frequent urination, weight loss, fatigue",120,3,Low,11
2025-08-29,USA,New York,Skin Infection,"itching, redness, swelling, skin rash",197,17,High,159
2025-07-02,Germany,Hamburg,COVID-19,"breathing difficulty, loss of smell, cough, fever",460,7,Low,207
2026-05-02,Canada,Alberta,Malaria,"sweating, fever, fatigue",215,8,Moderate,14
2025-08-03,India,Tamil Nadu,Flu,"cough, body pain, fever, runny nose",176,10,Moderate,91
2026-01-18,Canada,Alberta,Diabetes,"weight loss, frequent urination, fatigue, increased thirst",163,20,High,111
2026-04-30,India,Karnataka,Malaria,"fatigue, fever",214,19,High,170
2026-04-03,India,Rajasthan,Malaria,"fatigue, chills",333,14,Moderate,131
2026-04-02,Canada,Quebec,Migraine,"vomiting, headache",242,15,High,143
2025-05-28,India,Delhi,Skin Infection,"redness, swelling, itching, skin rash",36,4,Low,29
2025-09-12,USA,California,Diabetes,"frequent urination, fatigue, weight loss, increased thirst",400,19,High,282
2025-06-12,USA,New York,COVID-19,"cough, fever, breathing difficulty, loss of smell",295,9,Moderate,179
2026-04-27,Canada,Ontario,Malaria,"chills, sweating, fatigue, fever",276,4,Low,35
2025-06-08,India,Rajasthan,Asthma,"chest tightness, wheezing, cough, breathing difficulty",477,3,Low,300
2026-01-25,Germany,Hesse,COVID-19,"cough, fever, loss of smell",118,20,High,16
2025-06-16,USA,Florida,Malaria,"chills, fever",202,4,Low,89
2026-02-05,Germany,Hamburg,Typhoid,"weakness, abdominal pain",432,16,High,209
2026-01-02,India,Karnataka,Respiratory Infection,"sore throat, cough, fever, breathing issue",96,17,High,86
2025-11-28,India,Karnataka,Flu,"runny nose, cough, fever",281,15,High,174
2026-04-09,USA,California,Skin Infection,"swelling, itching, skin rash, redness",125,19,High,103
2026-01-14,India,Rajasthan,Respiratory Infection,"cough, sore throat, fever",120,5,Low,28
2025-12-10,Canada,Quebec,Diabetes,"fatigue, weight loss, increased thirst, frequent urination",80,16,High,17
2026-04-13,India,Gujarat,Diabetes,"fatigue, frequent urination, weight loss",115,20,High,35
2025-06-14,India,Uttar Pradesh,Flu,"fever, cough, runny nose, body pain",224,6,Low,14
2025-07-30,USA,Ohio,Malaria,"fatigue, fever",97,10,Moderate,46
2026-05-22,Germany,Hamburg,Malaria,"fatigue, sweating, fever, chills",27,7,Low,24
2026-02-01,Germany,Berlin,Migraine,"nausea, headache, vomiting, sensitivity to light",179,6,Low,99
2025-07-03,Germany,Hesse,Skin Infection,"itching, swelling, redness",385,6,Low,163
2026-04-09,Germany,Berlin,Skin Infection,"swelling, itching, skin rash, redness",279,10,Moderate,138
2026-03-16,Germany,Berlin,Asthma,"breathing difficulty, wheezing",188,10,Moderate,132
2025-10-24,Germany,Hesse,Asthma,"chest tightness, breathing difficulty",403,12,Moderate,339
2025-06-20,USA,Texas,Flu,"runny nose, cough",291,14,Moderate,208
2025-11-13,Canada,Quebec,Flu,"runny nose, fever, cough",398,9,Moderate,223
2025-06-05,Canada,Quebec,Typhoid,"loss of appetite, abdominal pain, fever, weakness",417,4,Low,136
2025-05-29,USA,Texas,Dengue,"headache, skin rash, high fever, joint pain",207,11,Moderate,86
2025-07-25,Canada,Alberta,Dengue,"joint pain, headache, high fever, skin rash",132,12,Moderate,124
2026-02-15,Canada,Alberta,Flu,"runny nose, body pain",47,6,Low,14
2026-03-27,Germany,Hamburg,Diabetes,"increased thirst, fatigue, frequent urination, weight loss",291,19,High,28
2025-09-23,Germany,Berlin,Malaria,"sweating, fever",346,11,Moderate,188
2026-04-17,Canada,Quebec,COVID-19,"fever, loss of smell, cough, breathing difficulty",268,10,Moderate,202
2025-11-03,India,Uttar Pradesh,Respiratory Infection,"sore throat, breathing issue, cough",297,5,Low,40
2026-04-21,Canada,Ontario,Dengue,"high fever, skin rash, joint pain",111,3,Low,88
2025-10-27,USA,Florida,Migraine,"vomiting, nausea, sensitivity to light, headache",43,14,Moderate,2
2026-03-15,Germany,Hesse,Respiratory Infection,"cough, breathing issue, fever",49,11,Moderate,11
2025-10-14,Germany,Berlin,Diabetes,"weight loss, frequent urination, fatigue, increased thirst",310,12,Moderate,147
2026-04-06,USA,Florida,Respiratory Infection,"sore throat, cough, breathing issue",349,20,High,169
2025-11-03,India,Uttar Pradesh,Diabetes,"fatigue, weight loss, frequent urination, increased thirst",425,4,Low,355
2026-01-23,Canada,Quebec,Typhoid,"loss of appetite, fever, abdominal pain, weakness",330,14,Moderate,247
2025-12-20,Canada,Quebec,Diabetes,"weight loss, fatigue, increased thirst",359,17,High,133
2026-03-11,Canada,Ontario,Diabetes,"fatigue, weight loss, frequent urination",448,16,High,117
2025-12-24,USA,New York,Dengue,"joint pain, high fever, skin rash, headache",394,9,Moderate,339
2025-07-20,USA,Ohio,Asthma,"chest tightness, breathing difficulty, cough, wheezing",269,3,Low,90
2025-09-25,India,Gujarat,Typhoid,"loss of appetite, abdominal pain, weakness",33,15,High,29
2026-02-17,Germany,Berlin,Migraine,"sensitivity to light, headache, nausea, vomiting",308,7,Low,137
2025-11-10,Germany,Berlin,Diabetes,"frequent urination, weight loss, fatigue, increased thirst",316,8,Moderate,310
2026-05-04,Canada,Ontario,Diabetes,"increased thirst, fatigue",10,4,Low,4
2025-09-08,Canada,Quebec,Typhoid,"fever, weakness, loss of appetite, abdominal pain",95,11,Moderate,56
2026-01-31,India,Delhi,Typhoid,"weakness, fever, loss of appetite",125,11,Moderate,12
2025-11-23,Germany,Hesse,Flu,"runny nose, cough",334,6,Low,90
2025-08-12,India,Karnataka,Asthma,"breathing difficulty, chest tightness, wheezing",374,12,Moderate,23
2025-06-14,Germany,Bavaria,Dengue,"high fever, skin rash, headache",283,5,Low,1
2025-08-16,India,Tamil Nadu,Typhoid,"fever, loss of appetite, abdominal pain",140,5,Low,22
2026-05-22,India,Uttar Pradesh,Asthma,"breathing difficulty, wheezing",16,9,Moderate,16
2025-07-14,USA,New York,Migraine,"vomiting, headache, sensitivity to light",90,4,Low,49
2026-01-18,Germany,Hesse,COVID-19,"cough, loss of smell, fever, breathing difficulty",404,20,High,5
2025-07-13,India,Punjab,Dengue,"high fever, joint pain, skin rash",430,14,Moderate,399
2026-03-28,Canada,Ontario,Asthma,"breathing difficulty, cough",436,3,Low,338
2026-01-18,India,Rajasthan,COVID-19,"loss of smell, cough, breathing difficulty, fever",340,8,Moderate,5
2025-09-27,Germany,Berlin,Skin Infection,"swelling, skin rash, redness, itching",58,5,Low,24
2025-09-27,Canada,Ontario,Typhoid,"weakness, abdominal pain, fever",224,9,Moderate,135
2026-01-13,Canada,Alberta,Dengue,"headache, high fever",320,11,Moderate,292
2025-08-31,USA,New York,COVID-19,"loss of smell, fever, breathing difficulty",71,5,Low,25
2026-04-27,India,Tamil Nadu,Malaria,"sweating, chills, fever",281,5,Low,279
2025-12-11,India,Delhi,COVID-19,"loss of smell, cough",107,12,Moderate,76
2025-10-04,Canada,Ontario,Flu,"fever, runny nose",311,18,High,307
2026-05-02,Germany,Hesse,Respiratory Infection,"sore throat, fever",57,14,Moderate,37
2025-08-09,Germany,Berlin,Asthma,"cough, chest tightness",142,14,Moderate,81
2025-11-23,Canada,Quebec,Respiratory Infection,"fever, cough, sore throat, breathing issue",424,19,High,31
2026-02-11,India,Karnataka,COVID-19,"cough, fever, loss of smell, breathing difficulty",100,20,High,1
2025-11-11,Germany,Hamburg,Migraine,"sensitivity to light, vomiting, nausea, headache",136,11,Moderate,102
2026-04-25,USA,New York,COVID-19,"cough, loss of smell, fever",417,4,Low,29
2025-09-24,USA,Ohio,COVID-19,"loss of smell, fever, breathing difficulty, cough",408,8,Moderate,281
2026-02-23,Germany,Hesse,COVID-19,"cough, loss of smell",442,6,Low,321
2025-10-07,Germany,Berlin,Migraine,"sensitivity to light, headache, nausea",335,17,High,262
2025-12-27,Canada,Quebec,Asthma,"breathing difficulty, chest tightness, cough, wheezing",424,20,High,378
2025-11-21,USA,Texas,Diabetes,"fatigue, frequent urination, weight loss, increased thirst",296,8,Moderate,197
2026-03-31,USA,California,Dengue,"skin rash, high fever, joint pain, headache",28,16,High,13
2025-09-24,Canada,Ontario,Respiratory Infection,"cough, breathing issue, fever, sore throat",38,7,Low,25
2025-07-06,Germany,Hamburg,Diabetes,"fatigue, weight loss",256,7,Low,89
2026-05-02,USA,Texas,Typhoid,"loss of appetite, weakness",451,12,Moderate,354
2025-12-16,Canada,Quebec,COVID-19,"fever, cough, loss of smell",144,4,Low,97
2026-02-01,India,Uttar Pradesh,Respiratory Infection,"fever, breathing issue",358,3,Low,209
2025-10-07,USA,Florida,Typhoid,"weakness, fever, abdominal pain",114,13,Moderate,78
2025-12-07,India,Maharashtra,Flu,"body pain, runny nose, cough",60,11,Moderate,54
2026-05-11,Germany,Hesse,Skin Infection,"itching, skin rash, redness, swelling",331,7,Low,308
2026-01-19,Germany,Bavaria,Malaria,"chills, fever, sweating, fatigue",416,16,High,69
2025-10-27,Canada,Quebec,Malaria,"fatigue, fever",342,14,Moderate,230
2025-06-08,India,Maharashtra,Flu,"fever, runny nose, body pain",257,13,Moderate,214
2025-05-22,India,Delhi,Skin Infection,"skin rash, swelling, itching, redness",500,17,High,65
2025-08-06,Canada,Quebec,Typhoid,"loss of appetite, abdominal pain, weakness, fever",278,14,Moderate,70
2026-01-07,Canada,Quebec,COVID-19,"fever, cough",437,6,Low,63
2026-04-24,Canada,Alberta,Malaria,"sweating, fatigue",159,11,Moderate,47
2025-08-06,India,Uttar Pradesh,Migraine,"vomiting, sensitivity to light, headache, nausea",348,4,Low,77
2025-08-07,USA,Texas,Malaria,"sweating, fatigue",249,19,High,104
2025-08-30,Germany,Hamburg,Dengue,"high fever, headache, joint pain, skin rash",324,20,High,130
2025-11-21,Germany,Hesse,Skin Infection,"redness, skin rash, swelling",93,20,High,58
2026-02-15,India,Punjab,Malaria,"chills, sweating",147,4,Low,24
2025-10-31,Germany,Berlin,COVID-19,"breathing difficulty, fever",382,5,Low,154
2026-03-08,USA,Texas,Asthma,"cough, breathing difficulty, wheezing",129,7,Low,8
2025-12-06,Canada,Quebec,Migraine,"nausea, sensitivity to light, vomiting",14,4,Low,3
2026-05-14,Canada,Ontario,COVID-19,"breathing difficulty, fever",162,5,Low,28
2026-03-11,Germany,Bavaria,Typhoid,"weakness, loss of appetite",381,5,Low,20
2026-04-23,Germany,Hamburg,Diabetes,"frequent urination, weight loss, fatigue, increased thirst",11,4,Low,11
2026-02-16,USA,Florida,Malaria,"sweating, fatigue, chills, fever",205,7,Low,152
2025-06-19,India,Delhi,Asthma,"cough, breathing difficulty, chest tightness",310,8,Moderate,235
2026-05-01,Germany,Hesse,Typhoid,"abdominal pain, fever",240,17,High,200
2026-01-15,USA,California,Respiratory Infection,"cough, fever, breathing issue, sore throat",393,20,High,284
2025-09-08,Canada,Quebec,Respiratory Infection,"sore throat, breathing issue, fever",236,14,Moderate,99
2026-03-16,Canada,Alberta,Skin Infection,"itching, redness, swelling",11,14,Moderate,8
2026-04-06,Germany,Hesse,Diabetes,"increased thirst, frequent urination",324,17,High,20
2026-04-30,India,Maharashtra,Respiratory Infection,"fever, sore throat",45,18,High,28
2025-09-16,USA,Ohio,Asthma,"wheezing, chest tightness, breathing difficulty, cough",240,3,Low,233
2025-10-23,India,Uttar Pradesh,Respiratory Infection,"fever, breathing issue, cough, sore throat",333,15,High,325
2026-03-29,Canada,Quebec,Respiratory Infection,"sore throat, breathing issue, fever",73,18,High,18
2026-02-28,Canada,Alberta,Migraine,"vomiting, headache, sensitivity to light",291,19,High,282
2025-12-21,Germany,Hamburg,Malaria,"chills, sweating, fever, fatigue",19,5,Low,18
2025-10-06,Germany,Bavaria,Dengue,"headache, skin rash, high fever, joint pain",69,9,Moderate,54
2026-01-23,India,Gujarat,Asthma,"breathing difficulty, chest tightness",363,6,Low,144
2025-11-07,India,Gujarat,Flu,"cough, body pain, runny nose, fever",166,4,Low,33
2025-12-31,Canada,Ontario,Respiratory Infection,"sore throat, cough",432,11,Moderate,61
2025-08-12,USA,California,COVID-19,"cough, loss of smell, breathing difficulty, fever",341,14,Moderate,151
2025-07-01,India,Rajasthan,Diabetes,"frequent urination, increased thirst",436,14,Moderate,162
2025-05-25,Germany,Bavaria,Malaria,"chills, fever, sweating, fatigue",348,7,Low,105
2025-12-28,India,Gujarat,Diabetes,"weight loss, increased thirst",42,3,Low,42
2026-01-18,Germany,Hamburg,Diabetes,"increased thirst, weight loss, fatigue, frequent urination",289,6,Low,211
2026-02-01,Canada,Alberta,COVID-19,"breathing difficulty, cough, fever",48,7,Low,12
2026-02-17,Canada,Ontario,Asthma,"wheezing, chest tightness",460,4,Low,25
2025-08-05,Canada,Ontario,Flu,"cough, body pain, fever, runny nose",298,9,Moderate,233
2026-03-09,Germany,Hamburg,COVID-19,"breathing difficulty, fever, loss of smell, cough",104,19,High,104
2026-04-04,USA,New York,Malaria,"chills, fatigue, fever, sweating",156,13,Moderate,80
2026-01-09,Germany,Bavaria,Typhoid,"fever, loss of appetite",328,12,Moderate,234
2026-03-15,Germany,Bavaria,Skin Infection,"redness, swelling, itching",31,20,High,24
2025-08-12,Germany,Berlin,Typhoid,"weakness, fever, abdominal pain, loss of appetite",82,14,Moderate,57
2026-04-24,Germany,Bavaria,Migraine,"headache, nausea, vomiting, sensitivity to light",124,12,Moderate,110
2025-10-21,India,Uttar Pradesh,COVID-19,"fever, breathing difficulty, cough",251,16,High,51
2026-02-10,Germany,Berlin,Typhoid,"weakness, loss of appetite",424,17,High,251
2025-09-05,Germany,Berlin,Diabetes,"frequent urination, fatigue, weight loss",345,5,Low,229
2025-11-22,Germany,Berlin,Dengue,"joint pain, skin rash, high fever, headache",273,3,Low,160
2025-05-29,Canada,Alberta,Skin Infection,"itching, swelling",280,8,Moderate,131
2025-09-12,USA,Ohio,Typhoid,"loss of appetite, abdominal pain, fever",331,17,High,115
2026-01-23,USA,Texas,Respiratory Infection,"cough, breathing issue, fever",241,18,High,55
2025-10-18,Canada,Quebec,Asthma,"chest tightness, breathing difficulty, wheezing, cough",93,19,High,2
2026-01-04,USA,Texas,Flu,"cough, body pain",138,19,High,133
2026-01-22,USA,Florida,Malaria,"chills, sweating, fever",286,3,Low,125
2025-08-22,Canada,Alberta,Malaria,"fatigue, chills, fever",254,3,Low,92
2025-12-19,India,Gujarat,Asthma,"breathing difficulty, wheezing, cough, chest tightness",325,13,Moderate,25
2025-06-07,India,Gujarat,Diabetes,"increased thirst, weight loss, fatigue",415,9,Moderate,11
2025-10-04,Canada,Ontario,Skin Infection,"swelling, itching",490,17,High,54
2025-10-27,Canada,Quebec,Flu,"runny nose, body pain",181,8,Moderate,113
2026-01-13,India,Karnataka,COVID-19,"breathing difficulty, fever",450,3,Low,21
2025-12-20,Canada,Ontario,Typhoid,"loss of appetite, weakness, fever, abdominal pain",228,3,Low,192
2026-04-20,USA,New York,Diabetes,"weight loss, increased thirst, frequent urination",491,19,High,459
2025-11-15,USA,Ohio,Malaria,"sweating, fatigue, fever, chills",294,4,Low,245
2026-05-08,USA,Texas,Flu,"body pain, runny nose, cough",325,20,High,214
2025-07-16,USA,Ohio,Asthma,"wheezing, chest tightness, cough, breathing difficulty",355,6,Low,2
2025-09-08,Germany,Bavaria,Diabetes,"fatigue, weight loss, frequent urination, increased thirst",475,19,High,9
2025-09-25,India,Punjab,Skin Infection,"skin rash, itching",143,19,High,6
2026-02-16,India,Punjab,COVID-19,"breathing difficulty, fever, loss of smell, cough",156,10,Moderate,73
2025-06-27,India,Gujarat,Dengue,"high fever, headache, skin rash",29,11,Moderate,1
2025-11-11,Canada,Quebec,Skin Infection,"redness, skin rash",198,10,Moderate,73
2025-12-04,Canada,Quebec,Skin Infection,"redness, skin rash, swelling, itching",470,7,Low,45
2026-01-24,Canada,Ontario,Malaria,"sweating, fatigue",17,6,Low,6
2025-12-17,India,Uttar Pradesh,Migraine,"sensitivity to light, nausea",187,19,High,140
2025-12-21,India,Uttar Pradesh,COVID-19,"fever, breathing difficulty",127,8,Moderate,111
2026-02-18,Germany,Hesse,Diabetes,"frequent urination, weight loss, increased thirst",267,8,Moderate,125
2026-05-18,USA,Texas,Typhoid,"abdominal pain, fever, weakness, loss of appetite",383,4,Low,38
2025-12-31,India,Maharashtra,Respiratory Infection,"cough, fever, breathing issue",455,19,High,446
2025-12-20,Germany,Hesse,Dengue,"skin rash, headache, joint pain, high fever",66,15,High,45
2025-10-29,Germany,Hesse,Skin Infection,"swelling, skin rash, redness",226,15,High,192
2025-12-10,USA,California,Flu,"cough, body pain, runny nose, fever",407,12,Moderate,355
2025-11-26,USA,Ohio,Flu,"body pain, cough",137,10,Moderate,32
2025-10-05,Germany,Hesse,Skin Infection,"itching, skin rash",330,20,High,51
2026-02-17,Canada,Alberta,Flu,"runny nose, fever, cough",52,16,High,15
2025-11-11,India,Rajasthan,Flu,"runny nose, body pain, cough",254,11,Moderate,241
2026-01-22,USA,Florida,Skin Infection,"redness, itching, skin rash",270,8,Moderate,79
2025-08-28,India,Gujarat,Flu,"cough, fever, runny nose, body pain",22,6,Low,14
2025-10-21,Germany,Hesse,Flu,"fever, runny nose, body pain",337,4,Low,30
2026-04-21,Canada,Quebec,Typhoid,"loss of appetite, abdominal pain",335,14,Moderate,314
2025-09-23,India,Maharashtra,Diabetes,"weight loss, increased thirst, fatigue",87,8,Moderate,2
2025-06-19,USA,Ohio,Typhoid,"loss of appetite, fever, abdominal pain",371,6,Low,114
2025-12-14,USA,Florida,Flu,"body pain, fever, cough, runny nose",389,3,Low,21
2025-10-16,USA,Florida,Dengue,"high fever, joint pain",292,4,Low,155
2025-07-10,USA,New York,COVID-19,"cough, breathing difficulty, loss of smell",315,7,Low,63
2026-02-26,USA,New York,Respiratory Infection,"fever, sore throat, breathing issue",285,14,Moderate,255
2025-07-03,Canada,Quebec,Migraine,"sensitivity to light, headache, nausea, vomiting",431,5,Low,22
2025-07-14,USA,Texas,Diabetes,"fatigue, frequent urination, increased thirst, weight loss",486,8,Moderate,269
2025-11-21,Germany,Bavaria,Flu,"fever, cough, body pain",288,17,High,234
2026-03-26,Germany,Hesse,Migraine,"vomiting, sensitivity to light",140,12,Moderate,4
2025-07-16,Germany,Hamburg,Malaria,"chills, sweating, fatigue",478,8,Moderate,99
2026-04-25,Germany,Berlin,Flu,"fever, cough",161,18,High,39
2026-01-10,Germany,Hesse,Skin Infection,"swelling, redness",473,3,Low,369
2025-12-09,Germany,Hesse,Skin Infection,"skin rash, itching, swelling, redness",184,15,High,63
2025-10-08,Germany,Bavaria,Asthma,"wheezing, chest tightness, breathing difficulty",203,7,Low,171
2025-11-21,USA,California,Migraine,"nausea, headache, vomiting",210,3,Low,158
2026-02-25,Canada,Quebec,Migraine,"headache, sensitivity to light, nausea",144,16,High,7
2026-04-18,India,Gujarat,Malaria,"sweating, chills, fever, fatigue",261,7,Low,19
2025-08-29,India,Maharashtra,Diabetes,"fatigue, frequent urination, weight loss",466,5,Low,401
2025-11-10,USA,Ohio,Typhoid,"abdominal pain, weakness, fever, loss of appetite",458,19,High,268
2026-03-19,USA,California,Flu,"cough, body pain",455,19,High,32
2026-04-28,India,Rajasthan,Malaria,"chills, fever",455,3,Low,241
2026-03-13,Canada,Alberta,Skin Infection,"skin rash, redness",448,3,Low,84
2026-02-14,Germany,Bavaria,Flu,"cough, body pain, runny nose",62,5,Low,35
2026-02-07,Canada,Alberta,Typhoid,"weakness, abdominal pain, loss of appetite",332,9,Moderate,182
2025-12-19,Canada,Ontario,Dengue,"joint pain, headache",388,20,High,39
2026-05-03,Germany,Berlin,Flu,"body pain, runny nose, fever",206,7,Low,38
2025-12-15,Germany,Bavaria,Malaria,"fatigue, fever, sweating",411,4,Low,286
2026-02-12,India,Karnataka,Diabetes,"weight loss, frequent urination, fatigue",149,3,Low,52
2025-11-06,India,Rajasthan,Respiratory Infection,"cough, breathing issue, fever",370,7,Low,125
2026-05-01,Germany,Hesse,COVID-19,"cough, loss of smell",401,17,High,175
2025-12-29,Canada,Ontario,Skin Infection,"itching, redness, swelling",448,3,Low,433
2025-10-17,USA,California,Migraine,"sensitivity to light, headache, vomiting, nausea",22,10,Moderate,3
2026-04-23,India,Tamil Nadu,Dengue,"headache, joint pain",461,3,Low,53
2026-03-01,USA,New York,Malaria,"fever, fatigue",356,14,Moderate,312
2026-03-21,USA,New York,Asthma,"breathing difficulty, chest tightness",327,12,Moderate,194
2025-06-15,USA,New York,COVID-19,"loss of smell, cough",155,4,Low,8
2025-12-14,Canada,Ontario,COVID-19,"breathing difficulty, fever, loss of smell",306,9,Moderate,45
2025-08-10,Canada,Ontario,Skin Infection,"redness, itching, skin rash, swelling",183,7,Low,23
2026-05-15,Canada,Ontario,Flu,"body pain, fever",19,20,High,14
2025-11-20,Germany,Bavaria,Diabetes,"weight loss, fatigue, frequent urination",480,15,High,337
2026-05-05,India,Punjab,Flu,"body pain, runny nose, fever, cough",153,3,Low,78
2025-11-29,Germany,Bavaria,Typhoid,"abdominal pain, weakness",481,10,Moderate,296
2025-06-19,Canada,Alberta,Malaria,"sweating, chills",68,6,Low,23
2025-08-14,India,Uttar Pradesh,Skin Infection,"swelling, redness",125,4,Low,54
2026-04-27,USA,Florida,Migraine,"sensitivity to light, vomiting",291,3,Low,219
2025-06-11,USA,California,Typhoid,"loss of appetite, fever, abdominal pain",440,4,Low,56
2026-01-03,USA,Florida,Asthma,"chest tightness, wheezing, cough, breathing difficulty",246,11,Moderate,208
2026-02-07,USA,Texas,Skin Infection,"skin rash, redness",423,20,High,393
2025-08-07,Canada,Ontario,Flu,"body pain, runny nose",135,11,Moderate,76
2026-02-11,Germany,Berlin,COVID-19,"breathing difficulty, fever, cough, loss of smell",214,4,Low,166
2025-11-16,Germany,Berlin,Flu,"runny nose, cough, fever, body pain",260,16,High,68
2025-12-10,USA,Texas,Diabetes,"increased thirst, frequent urination, weight loss, fatigue",279,3,Low,207
2025-08-30,Germany,Hesse,Diabetes,"fatigue, weight loss, increased thirst, frequent urination",254,18,High,93
2026-04-20,India,Uttar Pradesh,Malaria,"fatigue, fever, sweating, chills",113,9,Moderate,77
2025-10-21,Germany,Berlin,Skin Infection,"skin rash, redness",251,14,Moderate,187
2025-10-26,India,Punjab,Respiratory Infection,"breathing issue, cough",310,13,Moderate,20
2025-10-25,Germany,Hesse,Migraine,"nausea, vomiting, headache, sensitivity to light",205,19,High,73
2025-12-19,Germany,Hamburg,Diabetes,"weight loss, frequent urination",171,9,Moderate,78
2026-03-25,India,Punjab,Skin Infection,"redness, swelling, skin rash",133,13,Moderate,70
2026-05-20,Germany,Berlin,COVID-19,"breathing difficulty, loss of smell, cough, fever",479,15,High,153
2025-06-07,India,Maharashtra,Respiratory Infection,"cough, fever, breathing issue, sore throat",266,9,Moderate,240
2026-02-03,India,Uttar Pradesh,Diabetes,"frequent urination, increased thirst",368,6,Low,238
2026-05-07,India,Delhi,COVID-19,"breathing difficulty, cough",319,6,Low,207
2025-12-23,Canada,Quebec,Skin Infection,"skin rash, itching",205,19,High,26
2026-02-18,USA,New York,Malaria,"fever, sweating, fatigue",83,10,Moderate,13
2025-09-26,India,Maharashtra,Malaria,"sweating, fatigue, chills, fever",138,14,Moderate,110
2026-03-25,Canada,Alberta,Flu,"runny nose, cough",495,20,High,111
